ID_datospoblacion;Estrato;Distrito;GV Descripción 2;Población;Origen;Zona;Fuente
1076;2;8028118S2;CONVERTIA NOROCCIDENTE;SOLEDAD;SAC;802811;PR
1473;2;8028118S2;CONVERTIA BOGOTA;SOLEDAD;SAC;802811;PR
1656;2;8028118S2;CONVERTIA BOGOTA;SOLEDAD;SAC;802811;PR
2195;2;8028118S2;CONVERTIA BOGOTA;SOLEDAD;SAC;802811;PR
2572;2;8028118S2;CONVERTIA BOGOTA;SOLEDAD;SAC;802811;PR
2934;2;8028118S2;CONVERTIA BOGOTA;SOLEDAD;SAC;802811;PR
2937;2;8028118S2;CONVERTIA BOGOTA;SOLEDAD;SAC;802811;PR
665;1;8028118S1;CONVERTIA BOGOTA;SOLEDAD;SAC;802811;PR
678;2;8028118S1;CONVERTIA BOGOTA;SOLEDAD;SAC;802811;PR
884;2;8028118S1;CONVERTIA BOGOTA;SOLEDAD;SAC;802811;PR
1156;2;8028118S1;CONVERTIA BOGOTA;SOLEDAD;SAC;802811;PR
1396;1;8028118S1;CONVERTIA BOGOTA;SOLEDAD;SAC;802811;PR
1425;2;8028118S1;CONVERTIA BOGOTA;SOLEDAD;SAC;802811;PR
1463;2;8028118S1;CONVERTIA BOGOTA;SOLEDAD;SAC;802811;PR
1576;3;8028118S1;CONVERTIA BOGOTA;SOLEDAD;VENTAS DIGITALES;802811;PR
2423;2;8028118S1;CONVERTIA BOGOTA;SOLEDAD;SAC;802811;PR
3110;2;8028118S1;CONVERTIA BOGOTA;SOLEDAD;SAC;802811;PR
258;4;8018228N5;CONVERTIA BOGOTA;BARRANQUILLA;SAC;801822;PR
376;3;8018228N5;CONVERTIA BOGOTA;BARRANQUILLA;SAC;801822;PR
422;1;8018228N5;CONVERTIA BOGOTA;BARRANQUILLA;SAC;801822;PR
540;3;8018228N5;CONVERTIA BOGOTA;BARRANQUILLA;SAC;801822;PR
814;3;8018228N5;CONVERTIA BOGOTA;BARRANQUILLA;SAC;801822;PR
851;4;8018228N5;CONVERTIA BOGOTA;BARRANQUILLA;SAC;801822;PR
922;2;8018228N5;CONVERTIA BOGOTA;BARRANQUILLA;SAC;801822;PR
934;3;8018228N5;CONVERTIA BOGOTA;BARRANQUILLA;SAC;801822;PR
1003;3;8018228N5;CONVERTIA BOGOTA;BARRANQUILLA;VENTAS DIGITALES;801822;PR
1294;4;8018228N5;CONVERTIA BOGOTA;BARRANQUILLA;SAC;801822;PR
1598;4;8018228N5;CONVERTIA BOGOTA;BARRANQUILLA;SAC;801822;PR
1759;1;8018228N5;CONVERTIA BOGOTA;BARRANQUILLA;VENTAS DIGITALES;801822;PR
1826;4;8018228N5;CONVERTIA BOGOTA;BARRANQUILLA;SAC;801822;PR
2061;3;8018228N5;CONVERTIA BOGOTA;BARRANQUILLA;SAC;801822;PR
2562;3;8018228N5;CONVERTIA BOGOTA;BARRANQUILLA;SAC;801822;PR
2576;3;8018228N5;CONVERTIA BOGOTA;BARRANQUILLA;SAC;801822;PR
2583;3;8018228N5;CONVERTIA BOGOTA;BARRANQUILLA;SAC;801822;PR
2899;3;8018228N5;CONVERTIA BOGOTA;BARRANQUILLA;VENTAS DIGITALES;801822;PR
3000;3;8018228N5;CONVERTIA BOGOTA;BARRANQUILLA;SAC;801822;PR
134;6;8018228N4;CONVERTIA BOGOTA;BARRANQUILLA;SAC;801822;PR
142;5;8018228N4;CONVERTIA BOGOTA;BARRANQUILLA;SAC;801822;PR
168;4;8018228N4;CONVERTIA BOGOTA;BARRANQUILLA;SAC;801822;PR
637;3;8018228N4;CONVERTIA BOGOTA;BARRANQUILLA;VENTAS DIGITALES;801822;PR
816;2;8018228N4;CONVERTIA BOGOTA;BARRANQUILLA;SAC;801822;PR
1365;3;8018228N4;CONVERTIA BOGOTA;BARRANQUILLA;SAC;801822;PR
1454;6;8018228N4;CONVERTIA BOGOTA;BARRANQUILLA;SAC;801822;PR
1494;3;8018228N4;CONVERTIA BOGOTA;BARRANQUILLA;SAC;801822;PR
1654;6;8018228N4;CONVERTIA BOGOTA;BARRANQUILLA;SAC;801822;PR
1659;4;8018228N4;CONVERTIA BOGOTA;PUERTO COLOMBIA;SAC;801822;PR
1985;3;8018228N4;CONVERTIA BOGOTA;PUERTO COLOMBIA;SAC;801822;PR
2437;1;8018228N4;CONVERTIA BOGOTA;BARRANQUILLA;SAC;801822;PR
2511;5;8018228N4;CONVERTIA BOGOTA;BARRANQUILLA;SAC;801822;PR
2682;6;8018228N4;CONVERTIA BOGOTA;BARRANQUILLA;VENTAS DIGITALES;801822;PR
2795;6;8018228N4;CONVERTIA BOGOTA;BARRANQUILLA;SAC;801822;PR
2805;2;8018228N4;CONVERTIA BOGOTA;BARRANQUILLA;SAC;801822;PR
2883;1;8018228N4;CONVERTIA BOGOTA;PUERTO COLOMBIA;VENTAS DIGITALES;801822;PR
3234;3;8018228N4;CONVERTIA BOGOTA;BARRANQUILLA;SAC;801822;PR
130;3;8018228N3;CONVERTIA BOGOTA;BARRANQUILLA;SAC;801822;PR
213;3;8018228N3;CONVERTIA BOGOTA;PUERTO COLOMBIA;SAC;801822;PR
498;3;8018228N3;CONVERTIA BOGOTA;BARRANQUILLA;SAC;801822;PR
499;2;8018228N3;CONVERTIA BOGOTA;BARRANQUILLA;SAC;801822;PR
810;3;8018228N3;CONVERTIA BOGOTA;PUERTO COLOMBIA;SAC;801822;PR
